"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 02 10:48:26 CST 2021","Fri Apr 02 10:48:26 CST 2021","0","","test_demo","Test","","","获取token值",""
"passed","Fri Apr 02 10:48:26 CST 2021","Fri Apr 02 10:48:26 CST 2021","0","","test_demo","Test","","","购物情况结果",""
"failed","Fri Apr 02 10:48:26 CST 2021","Fri Apr 02 10:48:26 CST 2021","0","","test_demo","Test","","","登录情况的结果",""
